Artist,Song,URL
Muse,Neutron Star Collision (Love Is Forever),https://genius.com/Muse-neutron-star-collision-love-is-forever-lyrics
Muse,Hate This and I’ll Love You,https://genius.com/Muse-hate-this-and-ill-love-you-lyrics
Muse,Cave,https://genius.com/Muse-cave-lyrics
Muse,Escape,https://genius.com/Muse-escape-lyrics
Muse,Sober,https://genius.com/Muse-sober-lyrics
Muse,Fillip,https://genius.com/Muse-fillip-lyrics
Muse,Dead Star,https://genius.com/Muse-dead-star-lyrics
Muse,Eternally Missed,https://genius.com/Muse-eternally-missed-lyrics
Muse,Hyper Chondriac Music,https://genius.com/Muse-hyper-chondriac-music-lyrics
Muse,Interlude,https://genius.com/Muse-interlude-lyrics
Muse,Algorithm (Alternate Reality Version),https://genius.com/Muse-algorithm-alternate-reality-version-lyrics
Muse,Map of Your Head,https://genius.com/Muse-map-of-your-head-lyrics
Muse,Spiral Static,https://genius.com/Muse-spiral-static-lyrics
Muse,Shine,https://genius.com/Muse-shine-lyrics
Muse,Overdue,https://genius.com/Muse-overdue-lyrics
Muse,Easily,https://genius.com/Muse-easily-lyrics
Muse,Recess,https://genius.com/Muse-recess-lyrics
Muse,Shrinking Universe,https://genius.com/Muse-shrinking-universe-lyrics
Muse,Yes Please,https://genius.com/Muse-yes-please-lyrics
Muse,New Kind Of Kick,https://genius.com/Muse-new-kind-of-kick-lyrics
Muse,Intro,https://genius.com/Muse-intro-lyrics
Muse,Dig Down (Acoustic Gospel Version),https://genius.com/Muse-dig-down-acoustic-gospel-version-lyrics
Muse,In Your World,https://genius.com/Muse-in-your-world-lyrics
Muse,Nature_1,https://genius.com/Muse-nature-1-lyrics
Muse,Host,https://genius.com/Muse-host-lyrics
Muse,Prelude,https://genius.com/Muse-prelude-lyrics
Muse,Assassin (Grand Omega Bosses Edit),https://genius.com/Muse-assassin-grand-omega-bosses-edit-lyrics
Muse,Ashamed,https://genius.com/Muse-ashamed-lyrics
Muse,Forced In,https://genius.com/Muse-forced-in-lyrics
Muse,Execution Commentary,https://genius.com/Muse-execution-commentary-lyrics
Muse,Con-Science,https://genius.com/Muse-con-science-lyrics
Muse,Agitated,https://genius.com/Muse-agitated-lyrics
